============================================================
[repair-train 1/5] old_shard=9 task=task_elections model=Qwen/Qwen3-32B
  MAX_CONC=32 BATCH_SIZE=32
============================================================
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_elections/Qwen/Qwen3-32B/train_rft.json (3006 rows)
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_elections/Qwen/Qwen3-32B/train_tfb.json (6012 rows)
[train] epoch=0 step=123/188 loss=0.2674 lr=7.18e-05 elapsed=449.4s
[train] epoch=0 step=124/188 loss=0.2789 lr=7.05e-05 elapsed=453.4s
[train] epoch=0 step=125/188 loss=0.2782 lr=6.91e-05 elapsed=456.3s
[train] epoch=0 step=126/188 loss=0.2451 lr=6.77e-05 elapsed=459.3s
[train] epoch=0 step=127/188 loss=0.2631 lr=6.63e-05 elapsed=462.8s
[train] epoch=0 step=128/188 loss=0.2560 lr=6.50e-05 elapsed=465.7s
[train] epoch=0 step=129/188 loss=0.2627 lr=6.37e-05 elapsed=468.7s
[train] epoch=0 step=130/188 loss=0.1972 lr=6.24e-05 elapsed=472.1s
[train] epoch=0 step=131/188 loss=0.3019 lr=6.10e-05 elapsed=475.6s
[train] epoch=0 step=132/188 loss=0.2534 lr=5.98e-05 elapsed=478.7s
[train] epoch=0 step=133/188 loss=0.2520 lr=5.85e-05 elapsed=481.6s
[train] epoch=0 step=134/188 loss=0.3217 lr=5.72e-05 elapsed=484.7s
[train] epoch=0 step=135/188 loss=0.3337 lr=5.60e-05 elapsed=487.6s
[train] epoch=0 step=136/188 loss=0.2746 lr=5.48e-05 elapsed=490.9s
[train] epoch=0 step=137/188 loss=0.2151 lr=5.35e-05 elapsed=494.0s
[train] epoch=0 step=138/188 loss=0.2508 lr=5.23e-05 elapsed=497.6s
[train] epoch=0 step=139/188 loss=0.2335 lr=5.12e-05 elapsed=500.6s
[train] epoch=0 step=140/188 loss=0.2667 lr=5.00e-05 elapsed=503.9s
[train] epoch=0 step=141/188 loss=0.2388 lr=4.89e-05 elapsed=507.0s
[train] epoch=0 step=142/188 loss=0.2314 lr=4.77e-05 elapsed=510.0s
[train] epoch=0 step=143/188 loss=0.2426 lr=4.66e-05 elapsed=514.1s
[train] epoch=0 step=144/188 loss=0.3604 lr=4.55e-05 elapsed=517.0s
[train] epoch=0 step=145/188 loss=0.2927 lr=4.45e-05 elapsed=520.1s
